Inducer,Plasmid,Regulator,Promoter,ymax (RPU),ymin (RPUx10-3),K (µM),n,Dynamic range,start,ymax Linear
DAPG,pAJM.847,PhlFAM,PPhlF,2.50,2.5,1.700,2.1,1000,0.03,2 
Cuma,pAJM.657,CymRAM,PCymRC,3.70,4.3,8.900,2.4,870,0.3,2
OC6,pAJM.474,LuxR,PLuxB,1.30,2.4,0.120,1.8,540,0.002,0.5
Van,pAJM.773,VanRAM,PVanCC,3.00,2.4,26.000,2.3,1200,1,1.8
IPTG,pAJM.336,LacIAM,PTac,3.30,4.8,140.000,1.8,690,2,1.5
aTc,pAJM.011,TetR,PTet*,2.40,4.9,0.013,3.8,500,0.0018,1
Ara,pAJM.677,AraCAM,PBAD,1.20,2.4,37.000,1.5,500,0.2,0.7
Cho,pAJM.683,BetIAM,PBetI,2.60,8.5,4100.00,2.7,310,300,0.9
Nar,pAJM.661,TtgRAM,PTtg,0.46,3.4,95.000,1.9,140,2,0.2
DHBA,pAJM.690,PcaUAM,P3B5B,1.60,4.5,370.000,1.8,360,9,1
Sal,pAJM.771,NahRAM,PSalTTC,2.80,4.7,43.000,1.8,600,0.9,1.3
OHC14,pAJM.1642,CinRAM,PCin,1.50,3.0,0.430,2.3,490,0.016,0.7
Acr,pAJM.884,AcuRAM,PAcu,3.10,37.0,130.000,2.5,83,10,1.7
Ery,pAJM.969,MphRAM,PMph,0.29,8.0,65.000,1.5,36,2,0.18
